reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Unknown,East African,Male,Three,Ventura Village
Citizen / 9-1-1,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Four,Willard/Hay
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,North Loop
Citizen / 9-1-1,Suspicious Person (P),RPT-Report,NO,YES,NO,Black,Black,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Two,Bottineau
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Native American,Native American,Male,Three,Midtown Phillips
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Female,Three,Midtown Phillips
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,NO,Unknown,Black,Male,Four,Harrison
Citizen / 9-1-1,Suspicious Vehicle (P),INF-Information,NO,YES,NO,Black,Black,Male,Three,Midtown Phillips
Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Near/North
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,NO,Unknown,Black,Male,Four,Hawthorne
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Native American,Native American,Female,Three,Powderhorn Park
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Four,Near/North
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Native American,Native American,Male,Three,East Phillips
Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Unknown,Other,Male,Five,CARAG
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,Four,Hawthorne
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,White,White,Male,One,Downtown West
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Native American,Native American,Female,Three,East Phillips
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Male,Four,Jordan
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Female,One,Downtown West
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,White,Male,Two,Holland
Investigative,Traffic Law Enforcement (P),INF-Information,NO,YES,NO,East African,East African,Male,Five,Lyndale
Citizen / 9-1-1,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Unknown,White,Female,Two,Como
Investigative,Suspicious Person (P),RPT-Report,NO,YES,NO,Black,Black,Male,Five,Lyndale
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,YES,YES,NO,Unknown,White,Male,Two,Marcy Holmes
Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,YES,YES,White,White,Male,Three,Longfellow
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Black,Black,Female,Three,Powderhorn Park
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Investigative,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Black,Black,Male,Four,Hawthorne
