reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Native American,Unknown,Male,Three,Midtown Phillips
Equipment Violation,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Black,Black,Male,Three,Ventura Village
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Three,Longfellow
Citizen / 9-1-1,Attempt Pick-Up (P),INF-Information,NO,NO,NO,Unknown,Unknown,Male,One,Downtown West
Investigative,Suspicious Person (P),RPT-Report,NO,YES,NO,Black,Black,Male,Four,Hawthorne
Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Latino,Latino,Male,Two,Holland
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Male,Five,Lyndale
Investigative,Suspicious Vehicle (P),INF-Information,NO,NO,NO,Unknown,Native American,Female,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Four,Near/North
Investigative,Suspicious Person (P),RPT-Report,NO,YES,NO,Black,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,Four,Hawthorne
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,Four,Bryn - Mawr
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,McKinley
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Unknown,Black,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Female,Three,Central
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Female,One,North Loop
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,Five,Linden Hills
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Female,Five,Lyndale
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Four,Webber/Camden
Citizen / 9-1-1,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Unknown,White,Female,Two,Prospect Park/East River Road
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,Four,Victory
Investigative,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Latino,Male,Three,Ventura Village
Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Male,Three,Ventura Village
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,East African,East African,Male,Five,Lowry Hill East
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Male,Five,CARAG
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Five,Lyndale
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Latino,Latino,Male,Three,Midtown Phillips
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Black,Male,Two,Holland
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,Two,Bottineau
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Hawthorne
Investigative,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Unknown,Native American,Female,Three,Ventura Village
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Female,One,Loring Park
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Female,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Two,Como
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Female,Two,Beltrami
Investigative,Attempt Pick-Up (P),UTL-Unable to Locate,NO,NO,NO,White,White,Male,Five,Tangletown
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Five,Whittier
Investigative,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,Latino,Male,Five,Whittier
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Two,Marcy Holmes
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),TOW-Towed,NO,NO,NO,Unknown,White,Female,Five,Lowry Hill East
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Female,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,One,Elliot Park
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Unknown,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Native American,Female,Two,Nicollet Island/East Bank
Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,Four,Folwell
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,White,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,NO,NO,Unknown,White,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Male,Three,East Phillips
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Male,Four,Lind - Bohanon
Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Native American,Female,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,YES,NO,NO,Unknown,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,White,White,Female,Four,Near/North
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,NO,NO,Unknown,Unknown,Male,One,Loring Park
Citizen / 9-1-1,Suspicious Person (P),UTL-Unable to Locate,NO,NO,NO,Black,Unknown,Male,Five,Stevens Square/Loring Heights
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),AQT-All Quiet,NO,NO,NO,Unknown,Unknown,Male,Three,Diamond Lake
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Three,East Phillips
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Female,Five,Lowry Hill East
Citizen / 9-1-1,Suspicious Person (P),RPT-Report,YES,NO,NO,White,White,Male,One,Elliot Park
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Four,Willard/Hay
Citizen / 9-1-1,Attempt Pick-Up (P),NOS-No Service,NO,NO,NO,Latino,Unknown,Female,Five,Lyndale
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Male,Four,Near/North
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,East Phillips
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,Three,Howe
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,Two,Marcy Holmes
