X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.2961695,44.98427168,20833591,20-000044,2020/01/01 00:21:48+00,Domestic ,Yes,TLE     ,No,1,Citee                                                  ,1,Bodily Force,Push Away,Black,Male,36,Verbal Non-Compliance                                                          ,4,Near - North
-93.29826148,44.95095754,20824400,19-381558,2019/12/31 23:13:26+00,Assist-Public ,Yes,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,White,Male,38,Tensed                                                                         ,5,Lowry Hill East
-93.2765804,44.96331994,20821460,19-381539,2019/12/31 22:52:50+00,Unknown Trouble ,Yes,OBSTRU  ,No,3,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,29,Verbal Non-Compliance                                                          ,5,Stevens Square - Loring Heights
-93.2765804,44.96331994,20826316,19-381539,2019/12/31 22:52:50+00,Unknown Trouble ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,29,Verbal Non-Compliance                                                          ,5,Stevens Square - Loring Heights
-93.2765804,44.96331994,20827905,19-381539,2019/12/31 22:52:50+00,Unknown Trouble ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,29,Verbal Non-Compliance                                                          ,5,Stevens Square - Loring Heights
-93.2765804,44.96331994,20834222,19-381539,2019/12/31 22:52:50+00,Unknown Trouble ,Yes,OBSTRU  ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,29,Tensed                                                                         ,5,Stevens Square - Loring Heights
-93.26259001,44.95642799,20833372,19-380186,2019/12/30 17:59:35+00,Emotionally Disturb Person ,No,CIC     ,No,1,INVOLVED                                               ,1,Bodily Force,Takedown,Black,Male,36,Tensed                                                                         ,3,Phillips West
-93.29131597,44.9447286,20822462,19-379727,2019/12/30 02:44:57+00,Disturbance ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Female,23,Verbal Non-Compliance                                                          ,5,CARAG
-93.29131597,44.9447286,20833477,19-379727,2019/12/30 02:44:57+00,Disturbance ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Chemical Irritant,Personal Mace,White,Female,23,Verbal Non-Compliance                                                          ,5,CARAG
-93.2476225,44.97037639,20821416,19-379614,2019/12/29 22:26:48+00,Customer Trouble ,Yes,THEFT   ,No,1,ARRESTEE                                               ,1,Taser,Arcing,Black,Male,27,Tensed                                                                         ,1,Cedar Riverside
-93.2476225,44.97037639,20822361,19-379614,2019/12/29 22:26:48+00,Customer Trouble ,Yes,THEFT   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,27,Tensed                                                                         ,1,Cedar Riverside
-93.2476225,44.97037639,20833751,19-379614,2019/12/29 22:26:48+00,Customer Trouble ,Yes,THEFT   ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,27,Tensed                                                                         ,1,Cedar Riverside
-93.29281379,45.00594137,20821213,19-379374,2019/12/29 17:13:47+00,Traffic Law Enforcement ,No,MJINMV  ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,26,Verbal Non-Compliance                                                          ,4,Hawthorne
-93.29281379,45.00594137,20821361,19-379374,2019/12/29 17:13:47+00,Traffic Law Enforcement ,No,MJINMV  ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,26,Verbal Non-Compliance                                                          ,4,Hawthorne
-93.29281379,45.00594137,20833856,19-379374,2019/12/29 17:13:47+00,Traffic Law Enforcement ,No,MJINMV  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,26,Verbal Non-Compliance                                                          ,4,Hawthorne
-93.30004441,45.02402032,20821459,19-377822,2019/12/27 17:45:45+00,,Yes,ASLT5   ,No,1,VICT/ARRESTEE                                          ,1,Chemical Irritant,Personal Mace,Black,Male,16,Verbal Non-Compliance                                                          ,4,Folwell
-93.30004441,45.02402032,20824294,19-377822,2019/12/27 17:45:45+00,,Yes,ASLT5   ,No,2,VICT/ARRESTEE                                          ,2,Chemical Irritant,Personal Mace,Black,Male,15,Verbal Non-Compliance                                                          ,4,Folwell
-93.30004441,45.02402032,20834327,19-377822,2019/12/27 17:45:45+00,,Yes,ASLT5   ,No,1,VICT/ARRESTEE                                          ,1,Bodily Force,Takedown,Black,Male,16,Verbal Non-Compliance                                                          ,4,Folwell
-93.27279223,44.94226506,20826000,19-377549,2019/12/27 11:51:26+00,Trespass in Boarded Dwell ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,2,Bodily Force,Knee,Unknown,Male,47,Assaulted Officer                                                              ,3,Central
-93.27279223,44.94226506,20828230,19-377549,2019/12/27 11:51:26+00,Trespass in Boarded Dwell ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,2,Bodily Force,Body Weight Pin,Unknown,Male,47,Assaulted Officer                                                              ,3,Central
-93.27279223,44.94226506,20830350,19-377549,2019/12/27 11:51:26+00,Trespass in Boarded Dwell ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,2,Bodily Force,Takedown,Unknown,Male,47,Assaulted Officer                                                              ,3,Central
-93.27279223,44.94226506,20834228,19-377549,2019/12/27 11:51:26+00,Trespass in Boarded Dwell ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,2,Bodily Force,Punch,Unknown,Male,47,Assaulted Officer                                                              ,3,Central
-93.30828599,45.02136805,20824399,19-377035,2019/12/26 18:21:43+00,Narcotics ,Yes,NARC    ,No,1,SUSPECT                                                ,1,Taser,Firing Darts,Black,Male,32,Fled on Foot                                                                   ,4,Folwell
